Aal;tripsk;'tripsk;
Leder;konril;;
lediglich;kefroilt;;
leer;crîercht;;
leeren;crîerchell;;
legal;rípewmt;;
legalisieren;rípewmell;;
Legalität;rípewm;;
Legehenne;escheskrin;;
legen;eschell;;
legendär;triploucht;;
Legende;triplouch;;
Legierung;gúlshem;;
Lehne;deych;;
lehnen;deychell;;
Lehre;brurch;;
lehren;brurchell;;
Lehrer;brurchap;;
Lehrstunde;brurchmatash;;
Leiche;trosh;;
leicht;krouasht;;
leid;gîmk;;
Leid;gîmron;;
leiden;gîmronell;;
Leidenschaft;pînouchr;;
leidenschaftlich;pînouchrt;;
leider;gîmchup;;
leidig;gîmront;;
leihen;pewell;;
Leine;ulrolm;;
leise;rílt;;
Leiste;purok;;
leisten;korokell;;
Leistung;korokem;;
Leistungsfähigkeit;korokemûtch;;
leiten;spratchell;;
Leiter;porash;;
Leiterkarte;spratchtron;'spratch.tron;
Leitfaden;spratchralosh;'spratch.ra.losh;
leitfähig;spratchûtcht;;
Leitfähigkeit;spratchûtch;;
Leitung;spratchem;;
Lektion;pároil;;
Lektüre;tilrop;;
Lende;mewlem;;
lenken;banell;;
Lenkrad;banrechr;;
Lenkung;banem;;
Leopard;loikrisk;;
lernen;wíchrell;;
lesen;narashell;;
Leser;narasher;;
Lesung;narashem;;
letzte;cheytiont;;
letztens;cheytiontest;;
leuchten;proilell;;
leugnen;refterchrell;;
Leute;dons;;
Libelle;rínialsk;;
Licht;dench;;
lichten;denchell;;
Lichtschalter;denchhîchref;;
Lichtschutzfaktor;denchbrochrrustion;;
Lichtung;denchem;;
Lid;hítoil;;
lieb;qít;;
Liebe;qí;;
lieben;qíell;;
liebend;qíellp;;
lieber;qítem;;
Liebesehe;qíumchr;;
Liebeslied;qínialch;;
liebevoll;qíbít;;
Liebling;qíer;;
Lieblingsfarbe;qípmurmash;;
Lieblingslied;qípnialch;;
liebsten;qítes;;
Lied;nialch;;
Lieferant;ruptionot;;
Liefermahnung;ruptionruschrem;'rup.tion.rus.chrem;
liefern;ruptionell;;
Lieferschein;ruptionbelmash;'rup.tion.bel.mash;
Lieferung;ruptionem;;
liegen;krilell;;
Liegestütz;krilvîlchr;'kril.vîl.chr;
Lift;stelish;;
Liga;lawpric;;
Likör;veyk;;
Lila;pusp;;
Limit;ríchr;;
limitieren;ríchrell;;
Limone;ginok;;
lindern;efchrell;;
Linderung;efchrem;;
Lineal;smík;;
Linie;tripash;;
linke;chint;;
links;chin;;
Linkskurve;chinsnîf;;
Linse;rárotch;;
Lippe;rípelsh;;
Liste;stroil;;
listen;stroilell;;
Lizenz;preyktion;;
Lob;gantash;;
loben;gantashell;;
Loch;plox;;
lochen;ploxell;;
Locke;prem;;
locken;nîerschell;;
locker;prewt;;
Lockerheit;prew;;
Lockerung;prewem;;
lockig;premt;;
lodern;lexerdell;;
lodernd;lexerdellp;;
Löffel;nîlawk;;
Logbuch;qishsolotch;;
Logistik;feyp;'feyp;
Logistiker;feyper;'fey.per;
logistisch;feypt;'feypt;
Lohn;trew;;
lohnen;trewell;;
lokal;nautílasht;;
lokalisieren;nautílashell;;
Los;^jinch;;
los;lept;;
lösbar;gautionfe^chtiont;;
löschen;kleshell;;
losen;^jinchell;;
lösen;gautionell;;
loslegen;lepteschell;;
losmachen;leptenrell;;
Lösung;gautionem;;
löten;nablchell;;
Lotse;buksher;;
lotsen;bukshell;;
Löwe;broulsk;;
loyal;tropt;;
Loyalität;trop;;
Lücke;hurk;;
Luft;choif;'choif;
lüften;choiftionell;;
Lüfter;choiftionrol;;
Luftfeuchtigkeit;choifbrolash;'choif.bro.lash;
Lüftung;choiftionem;;
Lüge;cosh;;
lügen;coshell;;
Lügner;cosher;'co.sher;
Luke;moverrash;;
Lunte;hîrem;;
Lupe;kashk;;
Lust;selch;;
lustig;seltiont;;
lustigerweise;seltiontrélt;'sel.tiont.rélt;
Lustigkeit;seltion;;
machbar;enrfe^chtiont;;
Machbarkeit;enrfe^chtion;;
Mache;enrí;'en.rí;
machen;enrell;;
Macht;vewl;;
Mädchen;troulin;;
Made;rolsk;;
madig;rolt;;
Magazin;drok;;
Magen;sop;;
mager;gichrt;;
Magie;milchr;;
Magier;milchrer;;
magisch;milchrt;;
Magnet;frîch;;
magnetisch;frîcht;;
mähen;riulchrell;;
Mahl;tilchr;;
Mahlzeit;tilchrlouk;;
Mähmaschine;riulchrblurch;'riul.chr.blurch;
mahnen;ruschrell;'rus.chrell;
Mahnung;ruschrem;'rus.chrem;
Mai;celk;;
Mail;koik;'koik;
Mal;dewroi;;
Mal;newk;;
mal;newk;;
malen;kropcell;;
Maler;kropcer;;
man;non;;
manch;káril;;
manche;káril;;
manchmal;kárilnewk;;
Mandant;belchîer;;
Mandat;belchî;;
Mandel;kiskawk;;
Mangel;qímention;;
mangelhaft;qímentionfrált;;
mangeln;qímentionell;;
Mango;jîhîk;;
Manipulation;zinpention;;
manipulieren;zinpentionell;;
Mann;eyler;;
Mannschaft;eylash;;
Manöver;qeltion;;
manövrieren;qeltionell;;
Mantel;elnosh;;
Mappe;trepichr;'tre.pi.chr;
Märchen;yínísh;;
Marine;giliash;;
Marionette;komek;;
Marionette;komep;;
Marke;kliachr;;
markieren;kliachrell;;
Markierung;kliachrem;;
Markt;krawtion;;
Marmelade;tilrem;;
Mars;marsd;;
Marter;gúlerrash;;
martern;gúlerrashell;;
Marterpfahl;gúlerrashpalash;;
März;oilref;;
Marzipan;rupship;;
Maschine;blurch;;
Maschinenbau;blurchdouj;;
Maske;cároil;;
maskieren;cárolmell;;
Maskierung;cárolmem;;
Maß;hekbatch;;
Massage;leysh;;
Massaker;splosh;;
massakrieren;sploshell;;
Masse;felch;;
massieren;leyshell;;
massiv;dulusht;;
Maßnahme;hekbatchkrench;;
Match;klilk;'klilk;
Material;cnitch;;
Materie;cinchr;;
Matratze;loshk;;
Matrix;ferup;;
Matt;bilroi;;
matt;bilroit;;
Mauer;sherash;;
Maul;lmox;;
maulen;lmoxell;;
Maulwurf;kurnsk;;
Maurer;sherasher;;
Maus;ionol;;
Maus;ionolin;;
Mäuschen;ionolotníl;;
Mäuschen;ionolotníls;;
Mäuserich;ionolsk;;
Maustaste;ionoldroulk;;
Mauszeiger;ionolfleychef;;
maxi;hák;;
maximal;háktiont;;
Maximum;háktion;;
Mechanik;grinm;;
Mechaniker;grinmek;;
mechanisch;grinmt;;
Mechanismus;grinchr;;
meckern;groulashell;;
Medaille;hork;;
Mediaplayer;áromsfeychrol;;
Medien;ároms;;
Meditation;gislash;;
meditieren;gislashell;;
Medium;árom;;
Medizin;me^chtion;;
Meer;mlitch;;
Meeresströmung;mlitchswaptionem;;
Meerjungfrau;mlitchtroulteylin;;
Meeting;rilf;'rilf;
mega;buf;'buf;
Mehl;külrá;;
mehr;ebtem;;
mehrere;ebtemem;;
mehrfach;ebtemrawlt;;
Mehrheit;ebtemash;;
meiden;liftionell;;
mein;valp;;
meine;valp;;
meinen;koltashell;;
meinerseits;valptewtiont;;
meinetwegen;valpblíl;;
Meinung;koltashem;;
meist;ebtest;;
meisten;ebtes;;
meistens;ebtest;;
Meister;roltioner;;
meistern;roltionell;;
Meisterschaft;roltionash;;
Meisterwerk;roltionkrílon;;
Melancholie;vinroil;;
melancholisch;vinroilt;;
melden;koilell;;
Meldung;koilem;;
melken;poilell;;
Melkerei;poiltrá;;
Melodie;wilpash;;
melodisch;wilpasht;;
Melone;érok;;
Menge;grúl;;
mengen;grúlell;;
Mensch;torch;;
Menschenpizza;torcheshor;;
Menschenrecht;torchspil;;
Menschheit;torchkoul;;
mental;chumt;;
Menü;pointion;;
merken;poktionell;;
Merkmal;posh;;
Merkur;merkurit;;
merkwürdig;poktionslopt;;
Mesh;lox;'lox;
Messbecher;hekbashvurmuk;;
Messe;shrup;;
messen;hekbashell;;
Messer;strimpflash;;
Messgerät;hekbashsolm;;
Messing;dírolm;;
Messung;hekbashem;;
Metall;milm;;
Meteor;roiz;;
Meteorologe;roizasher;;
Meteorologie;roizash;;
meteorologisch;roizasht;;
Meter;roif;;
Methode;galrush;;
methodisch;galrusht;;
Metzger;soschrer;;
Metzgerei;soschrtrásp;;
mich;valf;;
mies;jabasht;;
Miete;pchash;;
mieten;pchashell;;
Mieter;pchasher;;
Migräne;asrof;;
Mikrofon;lîxash;;
Mikrowelle;lîxchîerch;;
Milch;spleyp;;
milchig;spleypt;;
Milchschnitte;spleypvoumachr;;
Milchstraße;spleyppurjerring;;
mild;onmont;;
Milieu;prilchr;;
Militär;cîerspil;;
militärisch;cîerspilt;;
Milliarde;blá;;
Million;blí;;
minder;kríntem;;
Minderheit;kríntemash;;
mindestens;kríntest;;
Mine;wîlkosh;;
Mineral;morkor;'mor.kor;
mineralisch;morkort;'mor.kort;
mineralisieren;morkorell;'mor.ko.rell;
Mineralwasser;morkorrurch;;
mini;huk;;
minimal;huktiont;;
Minimum;huktion;;
Minister;romek;;
minus;ívash;;
Minute;malash;;
mir;valm;;
mischen;troklashell;;
Mischung;troklashem;;
missen;loshell;;
Misserfolg;toxawbchtash;;
missglücken;toxemtoshell;;
Mission;noulosh;;
misslich;toxt;;
Missverständnis;toxjawsonchrem;;
Mist;donsh;;
Misthaufen;donshfention;;
Mistkäfer;donshknisk;;
mit;mep;;
miteinander;mepelmglamt;;
Mitglied;mepkensh;;
Mitleid;mepgîmron;;
mitnehmen;mepkrenchell;;
mitreißend;mepmächrellp;;
Mitspieler;mepfeychap;;
Mittag;trínelk;;
Mittagessen;trínelkspawl;;
Mitte;enlash;;
mitteilen;mepächrell;;
Mitteilung;mepächrem;;
Mittel;pawstion;;
mittelbar;pawstionfe^chtiont;;
Mittelpunkt;enlashkelx;;
mittels;pawstionír;;
mitten;enlashk;;
Mitternacht;enlashchurk;en.lash.churk;
mittig;enlasht;;
Mittwoch;dírîp;;
mixen;blîschrell;;
Mixer;blîschrrol;;
mobil;gamrasht;;
Mobilität;gamrash;;
Mode;trorf;;
Modell;tolroil;;
Moder;shîroil;;
modern;rulsht;;
modern;shîroilell;;
modisch;trorft;;
modrig;shîroilt;;
Modul;kinkash;'kin.kash;
Modulation;kinkchr;'kink.chr;
modulieren;kinkchrell;'kink.chrell;
Modus;tulvew;;
mogeln;dínoitionell;;
mögen;klell;;
möglich;trialcht;;
möglicherweise;trialchtrélt;;
Möglichkeit;trialch;;
möglichst;trialchtest;;
Molekül;cíloncírosh;;
molekular;cíloncírosht;;
Molkerei;poiltrásp;;
mollig;proit;;
Moment;hîk;;
momentan;hîkt;;
Monat;sornex;;
monatlich;sornext;;
Mönch;ofsher;;
Mond;zímk;;
Monitor;shárok;;
Monster;grashlok;;
Monsterstatue;grashlotputroil;;
monströs;grasht;;
Montag;chîp;;
Montage;brîkchr;;
montierbar;brîkashfe^chtiont;;
montieren;brîkashell;;
Moor;tilf;;
Moral;klîtion;;
moralisch;klîtiont;;
Mord;kotch;;
morden;kotchell;;
Mörder;kotchap;;
morgen;manelch;;
Morgen;manelk;;
Morgenstern;neytrosh;;
morgig;manelcht;;
Morsealphabet;benchrshflemc;;
morsen;benchrshell;;
Morsezeichen;benchrshkrál;;
Mörtel;komop;;
Motiv;stoulp;;
Motor;rotûk;;
Motorboot;rotûkkisch;;
Motte;mlopsk;;
Motto;joil;;
Mücke;krask;;
müde;nawcht;;
Müdigkeit;nawch;;
muffig;kriktiont;;
Mühe;hexchr;;
mühelos;hexchrlept;;
mühen;hexchrell;;
Mühle;memtik;;
mühsam;hexchrt;;
Müll;fesfex;;
Mülleimer;fesfexkush;;
Mülltonne;fesfexkreychoil;;
multi;krilt;;
Mumie;srosh;;
Mund;memk;;
munden;memkell;;
münden;moxell;;
Mündung;moxem;;
Munition;wawchr;;
Münze;jurqil;;
Münzwurf;jurqiloution;;
Murmel;tilûk;;
Muschel;unroup;;
Museum;pokrop;;
Musik;relfchr;;
musikalisch;relfchrt;;
Musiker;relfchrer;;
Muskel;porop;;
Muskulatur;poropchr;;
Müsli;diship;;
müssen;lmell;;
Muster;kuron;;
Mut;rafash;;
Mutant;sawsher;;
Mutation;sawsh;;
mutieren;sawshell;;
mutig;rafasht;;
Mutter;nolsh;;
Mutter;wíkin;;
mütterlich;wíkt;;
Mutterschutz;wíkinbrochr;;
Mütze;sílc;;
mystisch;oil^chasht;;
mythisch;wipasht;;
Mythos;wipash;;
na;rî;;
nach;îb;;
nachäffen;îbbronell;;
Nachbar;prîker;;
Nachbarin;prîkin;;
Nachbarschaft;prîkem;;
Nachbarstadt;prîkrelcem;;
nachdem;îbbey;;
nachdenken;îbwenchell;;
nachdenklich;îbwencht;;
nachforschen;îbdeskashell;;
Nachforschung;îbdeskashem;;
Nachfrage;îbmítion;;
nachher;îbloud;;
Nachhilfe;îbinftion;;
nachholen;îbtoichrell;;
Nachmittag;îbtrínelk;;
Nachricht;toipash;;
Nachrichten;toipashs;;
nachrücken;îbchroukell;;
Nachschub;îbcor;;
Nachspeise;îbjenash;îb.je.nash;
Nachspiel;îbfeych;;
nächste;kurktes;;
Nacht;churk;;
Nachteil;îbächr;;
nächtlich;churkt;;
Nachtrag;îbwitch;;
nachtragen;îbwitchell;;
nachtragend;îbwitchellp;;
nachträglich;îbwitcht;;
Nachtschicht;churkholm;;
nachvollziehen;îbbítwunashell;;
Nachwuchs;îbhîspash;;
Nacken;pricim;;
nackt;brilft;;
Nadel;furmesh;;
Nagel;lawk;;
nagen;süchrell;;
nah;kurkt;;
Nähe;kurk;;
nähen;gridmell;;
näher;kurktem;;
nähern;kurkell;;
Näherung;kurkem;;
nahezu;kurktkí;;
Nähmaschine;gridmblurch;;
nähren;grîmell;;
nahrhaft;grîmfrált;;
Nahrung;grîmem;;
Naht;gridmush;;
Nahverkehr;kurkäujawsbliash;;
naiv;égasht;;
Naivität;égash;;
Name;tresch;;
nämlich;treschemt;;
Napf;til^ch;;
naschen;î^cherrashell;;
Naschkatze;î^cherrashkolmorin;;
Nase;ítoring;;
Nasenbär;ítoringchopsk;;
Nashorn;chreleshesk;;
nass;kupchrt;;
Nation;jelex;;
national;jelext;;
Nationalität;jelexash;;
Nationalmannschaft;jelexteylash;;
Natur;speltion;;
natürlich;speltiont;;
Natürlichkeit;speltionkoul;;
Naturschutz;speltionbrochr;;
Naturschützer;speltionbrochrer;;
Navigation;foschr;;
Navigator;foschrer;;
navigieren;foschrell;;
Nebel;strombash;;
neben;ren;;
nebenan;renemp;;
nebenbei;renstrill;;
Nebenbuhler;rencelasher;;
nebeneinander;renelmglamt;;
Nebensache;renhewchr;;
nebensächlich;renhewchrt;;
Nebenwirkung;rensolmashem;;
Neffe;síper;;
negativ;mewnúchrt;;
nehmen;krenchell;;
Neid;klaschr;;
neidisch;klaschrt;;
neigen;kloichrell;;
Neigung;kloichrem;;
nein;pu´ch;;
Nelke;onqî;;
nennen;treschrell;;
Nennung;treschrem;'tres.chrem;
Nennwert;treschropchîm;;
Neon;bilsp;;
Neptun;neptun;;
Nerv;psoition;;
nerven;psoitionell;;
Nervenkitzel;psoitionlicash;;
nervig;psoitiont;;
nervös;asurkt;;
Nervosität;asurk;;
nett;klenchrt;;
Netz;troil;;
neu;frílt;;
Neuerung;frílem;;
Neugier;kastash;;
neugierig;kastasht;;
Neuigkeit;frílem;;
neun;dílau;;
neunzehn;édílau;;
neunzig;dílauer;;
Neustart;fríläuchpash;;
neutral;delewt;;
Neutralität;delew;;
nicht;pletch;;
Nichte;sípin;;
nichtig;vesasht;;
nichts;pleg;;
nichtsdestotrotz;plegolrish;pleg.'ol.rish;
nie;prox;;
nieder;crul;;
Niederlage;crulestion;;
niederschwellig;crulgrutcht;;
niedlich;deyment;;
niedrig;krint;;
niedriger;krintem;;
niedrigsten;krintes;;
niemals;proxnewk;;
niemand;nerik;;
Niere;mawk;;
nieseln;poikell;;
Nieselregen;poiknoil;;
niesen;nau^tionell;;
Niete;moutosh;;
nirgend;käl;;
nirgends;kälf;;
nirgendwo;kälqawk;;
Nische;bex;;
Niveau;rey^tion;;
nobel;fint;;
Nobelpreis;Nobelflouash;;
Nobelrestaurant;fintäutoik;;
noch;retch;;
nochmal;retchnewk;;
nominieren;froptionell;;
Nominierung;froptionem;;
Nonne;ofshin;;
Norden;goschr;;
nördlich;goschrt;;
normal;awkencht;;
normalerweise;awkenchtrélt;;
normalisieren;awkenchell;;
Normalität;awkench;;
Nostalgie;tumerkrilchr;;
nostalgisch;tumerkrilchrt;;
Not;kochr;;
Notar;wesnîchap;;
Notarzt;kochrpalxot;;
Note;srotch;;
Notfall;kochrplîx;;
notieren;wesnîchell;;
nötig;kochrt;;
nötigen;kochrrashell;;
Nötigung;kochrrashem;;
Notiz;wesnîch;;
Notruf;kochrkeyp;;
Notwehr;kochrrîrash;;
notwendig;kochrhelasht;;
Notwendigkeit;kochrhelash;;
Nougat;enau;;
November;lialsh;;
nüchtern;krîlosht;;
Nuckel;shelch;;
nuckeln;shelchell;;
Nudel;treytion;;
null;röi;;
Nummer;tvalchr;;
nummerieren;tvalchrell;;
nun;pnoi;;
nur;coil;;
nuscheln;hilshell;;
Nuss;brúf;;
Nussknacker;brúfwîmchref;;
nutzen;ríwîchrell;;
nützlich;kîerrasht;;
Nützlichkeit;kîerrash;;
nutzlos;ríwîchrlept;;
Nutzung;ríwîchrem;;
Oase;slosh;;
ob;dej;;
oben;nawp;;
ober;nawpt;;
obere;nawpt;;
Oberfläche;nawpthawchr;;
oberflächlich;nawpthawchrt;;
oberhalb;nawptplaunt;;
oberste;nawptes;;
Obhut;trap;;
Objekt;rulush;;
Objektnummer;rulushtvalchr;;
Obst;teyrem;;
obwohl;dejjíd;;
oder;lí;;
Ofen;brinsh;'brinsh;
offen;churlt;;
offenbar;koipchrt;;
offenbaren;koipchrell;;
Offenbarung;koipchrem;;
öffentlich;átenasht;;
Öffentlichkeit;átenash;;
Office;rolrox;'rol.rox;
offiziell;trîlimt;;
Offizier;goschap;;
öffnen;churlell;;
Öffner;churlef;;
Öffnung;churlem;;
oft;rilt;;
oh;óh;;
ohne;melm;;
Ohr;sor;;
OK;key;;
okay;key;;
Oktober;kemrosh;;
Öl;shrom;;
oliv;dumsp;'dumsp;
Olive;dump;'dump;
Olivenöl;dumpshrom;'dump.shrom;
Oma;horonmin;;
Omen;rekom;;
Onkel;gawler;;
Opa;horonmek;;
Operation;gutch;;
operieren;gutchell;;
Opfer;krenash;;
opfern;krenashell;;
Optik;chop;'chop;
optimal;rexeletcht;;
Optimismus;intion;;
Optimist;intioner;;
optimistisch;intiont;;
Option;pástion;;
optisch;chopt;'chopt;
Orakel;neskul;;
Orange;blásp;;
Orange;gorok;;
Orbit;krip;;
Orchester;solk;;
Orden;prip;;
ordentlich;filtiont;;
Ordentlichkeit;filtion;;
ordnen;fîltionell;;
Ordner;fîltionef;;
Ordnung;fîltionem;;
Organ;nunrolm;;
organisch;nunrolmt;;
Orgel;pespash;;
Orgie;gauf;;
orientieren;zilpationell;;
Orientierung;zilpationem;;
Original;weylol;;
original;weylolt;;
Orkan;shetluk;;
Ort;lílc;;
orten;lílcell;;
Ortsschild;lílckemtash;;
Ortung;lílcem;;
Osten;tîmchr;;
Ostern;blinchr;'blin.chr;
östlich;tîmchrt;;
Ozean;tralk;;
paar;fíchrt;;
Paar;fítion;;
paaren;fítionell;;
Paarung;fítionem;;
Pacht;qîtion;;
pachten;qîtionell;;
Pack;rîlash;;
Päckchen;rîlashníl;'rî.lash.níl;
packen;rîlashell;;
Packung;rîlashem;;
Paket;rîlashef;;
Palast;onchír;;
Palme;belror;'bel.ror;
Panade;gempchr;;
Pandemie;ítuf;;
pandemisch;ítuft;;
panieren;gempchrell;;
Panik;helrolm;;
panisch;helrolmt;;
Panorama;drik;;
Panzer;prepitch;;
Panzerung;prepitchem;;
Papagei;zashtionsk;;
Papier;purk;;
Papierkorb;purkdonk;;
Paprika;trilif;;
Paradies;wîpchem;;
parallel;tulasht;;
Parallele;tulash;;
Parameter;tawnch;;
Parasit;malrolmsk;;
Parcours;gîtash;;
Parfüm;níchem;;
Park;obvalsh;;
parken;obvalshell;;
Parkhaus;obvalshtormtion;;
Parkplatz;obvalshronchr;;
Parkscheibe;obvalshpurlol;;
Partie;heskrul;;
Partikel;pek;;
Partner;rítúlek;;
Partnerschaft;rítúl;;
Party;mulop;;
Pass;noschr;;
Passage;destrí;;
Passagier;destrer;;
passen;cefchrell;;
passend;cefchrellp;;
passieren;destrell;;
passiv;kraulchrt;;
Passivität;kraulchr;;
Passwort;rould;;
Paste;auloi;;
Pastete;meymtion;;
Pate;wextioner;;
Patenschaft;wextion;;
Patent;tromsh;;
patentieren;tromshell;;
Patriot;blosher;;
patriotisch;blosht;;
Patriotismus;blosh;;
Patrone;sorchem;;
patzen;rekialshell;;
Patzer;rekialsh;;
Pause;raptosh;;
pausieren;raptoshell;;
Pech;melroil;;
peilen;fîerchell;;
Peilung;fîerchem;;
peinlich;nektiont;;
Peinlichkeit;nektion;'nek.tion;
Peitsche;chnish;;
peitschen;chnishell;;
Pendel;vektion;;
pendeln;vektionell;;
Penis;curch;;
pennen;gawlchell;;
Penner;gawlchap;;
Pension;tush;;
pensionieren;tushell;;
Pensionierung;tushem;;
per;jif;'jif;
perfekt;valcht;;
Perfektionismus;valch;;
Periode;dîchr;;
periodisch;dîchrt;;
Perle;tronchr;;
Person;mulkot;;
Personalie;mulkash;;
persönlich;mulkt;;
Perspektive;foption;;
perspektivisch;foptiont;;
pervers;cüpasht;;
Pessimismus;ätion;;
Pessimist;ätioner;;
pessimistisch;ätiont;;
Pest;truch;;
petzen;jekashell;;
Pfad;tok;;
Pfahl;palash;;
pfählen;palashell;;
Pfand;rouschr;;
pfänden;rouschrell;;
Pfanne;shilm;;
Pfeffer;punmîch;;
Pfeife;máchír;;
pfeifen;máchell;;
Pfeifenraucher;máchírchawewer;;
Pfeiferei;máchtrá;;
Pfeifkonzert;máchprîschr;;
Pfeifton;máchbrulsh;;
Pferd;äzor;;
Pferd;äzorsk;;
Pfiff;máchr;;
pfiffig;îverront;;
Pfiffigkeit;îverron;;
Pfingsten;frolk;'frolk;
Pfirsich;shilberrál;;
Pflanze;trelc;;
pflanzen;trelcell;;
Pflaster;trukialsh;;
pflastern;trukialshell;;
Pflege;kroip;;
pflegen;kroipell;;
Pflicht;krapsh;;
Pflug;milfchír;;
pflügen;milfchell;;
Pforte;wîpep;;
Pfote;lem;;
Pfusch;rupash;;
pfuschen;rupashell;;
Pfütze;holash;;
Phänomen;grîpil;;
Phantasie;trulash;;
phantasieren;trulashell;;
phantasievoll;trulashbít;;
phantastisch;louroilt;;
Phantom;golsh;;
Phase;kneyk;;
Philosoph;naulchrer;;
Philosophie;naulchr;;
philosophieren;naulchrell;;
Phobie;xrash;;
Phrase;nunrash;;
Physik;hîtash;;
physikalisch;hîtasht;;
Physis;trenash;;
physisch;trenasht;;
Pickel;kurlop;;
Pigment;zápáratch;;
pilgern;kloumell;;
Pille;slîx;;
Pilot;tîper;;
Pilz;moln;;
Pinguin;zégon;;
Pink;awqilsp;;
Pionier;tavllok;;
Pirat;rekner;;
Piraterie;rekn;;
pissen;lelopell;;
Pistole;lavitch;;
Pizza;hor;;
Pizzateig;horbam;;
Plädoyer;toshhûk;;
Plakat;brin;;
Plan;neytion;;
planen;neytionell;;
Planet;knalsh;;
Planke;bronef;;
Planung;neytionem;;
Plasma;rougoi;;
Plastik;fîchr;;
Plastiktüte;fîchrcílash;;
plastisch;fîchrt;;
Platine;qeref;;
platonisch;hexroilt;;
platt;rinasht;;
Platte;rinash;;
Platz;ronchr;;
platzen;tremshell;;
Platzhalter;ronchrmashk;;
plaudern;diftipell;;
Plaudertasche;diftipletch;;
plazieren;ronchrell;;
Plazierung;ronchrem;;
plötzlich;blawkt;;
Plötzlichkeit;blawk;;
Plünderer;ciptioner;;
plündern;ciptionell;;
Plünderung;ciptionem;;
plus;erî;;
Podest;joilrem;;
Podium;nelkrep;;
Poesie;fkosh;;
Poet;fkosher;;
poetisch;fkosht;;
Pokal;vurpash;;
Poker;frolm;;
pokern;frolmell;;
Pol;fríroil;;
polieren;gauashell;;
polig;fríroilt;;
Politik;belkrup;;
politisch;belkrupt;;
Politur;gauash;;
Polizei;châr;;
Polizeiauto;chârfench;;
polizeilich;chârt;;
Polizist;chârer;;
Polle;hurl;;
Polster;optosh;;
poltern;niltionell;;
Pore;lorchr;;
Port;kialk;;
Portion;kumroil;;
portionieren;kumroilell;;
Porto;tírip;;
Porträt;jîm;;
porträtieren;jîmell;;
Porzellan;mírîk;;
Position;noition;;
positionieren;noitionell;;
positiv;línúchrt;;
Post;osjî;;
Posten;kruption;;
postieren;kruptionell;;
Postkarte;osjîtron;;
Potenz;pumash;;
potenzieren;pumashell;;
Pracht;wírîch;;
prächtig;wírîcht;;
prachtvoll;wírîchbít;;
Praktikum;lomash;;
praktisch;lomasht;;
praktizieren;lomashell;;
Praktizierung;lomashem;;
Praline;dosdor;;
prallen;kolchrell;;
Prämie;sîdron;;
Präsentation;príkelím;;
präsentieren;príkelímell;;
Präsident;rashtioner;;
Präsidium;rashtion;;
prasselnd;nalloump;;
Praxis;rawhûk;;
präzise;goucht;;
Präzision;gouch;;
predigen;trupshell;;
Predigt;trupsh;;
Preis;flouash;;
preisen;flouashell;;
preislich;flouasht;'flou.asht;
prellen;randoshell;;
Prellung;randoshem;;
Premiere;botchok;;
preschen;conchell;;
Presse;^jutch;;
pressen;^jutchell;;
prickeln;froumell;;
prickelnd;froumellp;;
Priester;blíchrek;;
prima;lurkt;;
Prinz;tírílek;;
Prinzessin;tírílin;;
Prinzip;ourosh;;
Priorität;simsh;;
Prisma;xáp;;
privat;qîchrt;;
Privileg;rounem;;
pro;nouk;;
Probe;blekchr;;
Probefahrt;blekchrkurtion;;
proben;blekchrell;;
Probezeit;blekchrlouk;;
probieren;blektionell;;
Probierpreis;blektionflouash;;
Problem;mintion;;
Problematik;minchr;'min.chr;
problematisch;minchrt;'min.chrt;
problematisieren;minchrell;;
Problematisierung;minchrem;'min.chrem;
problemlos;mintionlept;;
Produkt;mram;;
Produktion;mramash;'mra.mash;
produzieren;mramashell;'mra.ma.shell;
Professor;tincchap;;
Profi;nîlof;;
Profil;kreperon;;
profilieren;krepershell;;
Prognose;presrolm;;
prognostizieren;presrolmell;;
Programm;chawch;;
Programmänderung;chawchdoletchem;;
Programmieranweisung;chawchrempókoshem;;
programmieren;chawchrell;;
Programmierer;chawchrer;;
Programmiersprache;chawchrrulk;;
Programmierung;chawchrem;;
Projekt;káp;;
Prophet;rúlchap;;
prophezeihen;rúlchell;;
Prophezeihung;rúlchem;;
Prospekt;beylon;;
Prost;mím;;
Protein;tvírúlchr;;
Protest;meynash;;
protestieren;meynashell;;
Proto;mlox;'mlox;
Protokoll;fesfash;;
Prototyp;mloxplûk;'mlox.plûk;
Provinz;toron;;
provisorisch;trítiont;;
Provokation;wílmash;;
provozieren;wílmashell;;
Prozedur;reymash;;
Prozent;fratchhûk;;
Prozess;mulsh;;
Prozessor;mulshrol;;
prüfen;meronell;;v
Prüfer;meroner;;
Prüfung;meronem;;
Prügel;krachr;;
prügeln;krachrell;;
pseudo;ulmut;;
Psyche;nîzash;;
psychisch;nîzasht;;
psycho;vioil;;
Psychopath;vioilpasher;;
Pubertät;jauntion;;
Publikum;torgoil;;
Pudding;koskor;;
puffen;vîlashell;;
Pullover;shilk;shilk;
Puls;nîlk;;
pulsieren;nîlkashell;;
Pulver;lontion;;
Pumpe;ruksh;;
pumpen;rukshell;;
Punkt;kelx;;
Punkte;kelxes;;
punkten;kelxell;;
pünktlich;kelkasht;;
Pünktlichkeit;kelkash;;
Punktrichter;kelxreyxer;;
Puppe;mírush;;
pur;falkt;;
Puste;enren;;
pusten;enrenell;;
Putz;vialch;;
